20210704131729,34.684403333333336,135.81135666666665
,adress,rssi,uuid
0,00:a0:50:1d:4a:ce,-72,null
1,08:bc:e0:73:cb:55,-91,null
2,71:a9:f5:64:3c:a7,-82,null
3,57:f5:d5:6e:65:59,-97,null
4,4f:f2:eb:56:4b:fd,-76,null
5,4e:aa:51:06:68:64,-56,null
6,29:f7:3f:61:6a:c8,-95,null
7,44:0b:a8:d6:89:94,-77,null
8,74:ab:17:32:17:f1,-95,null
9,5c:49:13:3d:9e:77,-81,null
10,68:d2:ad:17:29:37,-84,null
11,ac:12:2f:6a:99:73,-70,null
12,7c:aa:75:5e:39:80,-86,null
13,7c:a3:27:0c:35:46,-58,null
14,5a:0c:7b:7d:db:67,-90,null
15,59:50:6a:bd:af:89,-93,0000fd6f-0000-1000-8000-00805f9b34fb
16,5a:8f:9c:c2:22:f7,-89,null
17,cd:67:1b:af:ab:c2,-63,null
18,6e:74:d2:00:47:6c,-87,null
19,5e:cc:d7:88:ef:7c,-92,null
20,6a:4b:c4:7c:17:ac,-87,0000fd6f-0000-1000-8000-00805f9b34fb
21,71:6a:9f:66:be:04,-87,null
22,39:3f:29:2d:cd:5a,-89,0000fd6f-0000-1000-8000-00805f9b34fb
23,7c:92:9e:88:ad:8c,-91,null
24,09:41:94:b0:89:30,-96,null
25,7c:22:2f:aa:d1:0a,-87,null
26,66:ed:09:6d:af:76,-92,null
27,03:c1:7d:66:bd:79,-97,null
28,1e:31:24:e4:5f:a0,-95,null
29,14:be:c0:2d:bf:51,-99,null
30,0e:0d:1e:77:53:87,-94,null
31,01:eb:58:b7:0b:72,-100,null
32,6e:51:b5:ef:2d:ff,-97,null
33,3d:e7:54:bd:67:90,-90,0000fd6f-0000-1000-8000-00805f9b34fb
34,56:9b:b4:1b:20:08,-95,null
35,6c:27:13:60:fc:3a,-90,null
36,ff:41:b3:b7:f6:35,-91,null
37,59:e9:f1:dd:80:8e,-96,null
38,73:7c:bd:ea:eb:ce,-86,null
39,06:a7:30:6c:84:6c,-96,null
40,14:64:7d:8e:b0:d5,-95,null
41,6e:63:46:4e:83:1d,-98,null
