20210701130903,34.693221666666666,135.782175
,adress,rssi,uuid
0,00:a0:50:52:f3:a8,-84,null
1,69:40:70:30:fc:ca,-92,null
2,64:8d:4c:d2:73:84,-75,null
3,5c:22:ce:28:46:79,-95,null
4,78:81:5d:4f:af:50,-91,null
5,64:d9:e1:a2:76:58,-78,null
6,62:3f:4c:5f:fa:7a,-99,null
7,6c:c8:fd:0f:df:a8,-92,null
8,46:6e:e5:84:c4:d1,-82,null
9,10:b6:2a:ea:51:2c,-78,0000fd6f-0000-1000-8000-00805f9b34fb
10,7f:70:b0:f0:3f:10,-97,null
11,75:0e:6d:d4:e9:74,-86,null
12,52:73:c1:e3:57:5b,-90,null
13,c3:f8:f3:0a:51:c6,-95,null
14,4d:d5:05:4f:dc:f4,-85,null
15,98:52:3d:f9:56:d3,-83,null
16,3e:7f:fb:cb:ae:85,-91,0000fd6f-0000-1000-8000-00805f9b34fb
17,7f:2f:34:3b:88:5e,-85,null
18,74:36:5e:93:8e:39,-87,null
19,5f:c1:d6:5c:7d:f2,-97,null
20,23:2a:ac:c8:37:4b,-93,null
21,7c:69:e6:72:81:32,-94,null
22,1b:b7:a1:54:d6:67,-92,0000fd6f-0000-1000-8000-00805f9b34fb
23,d4:36:39:ba:c1:d3,-89,null
24,4f:21:c2:33:34:a6,-102,null
25,37:bc:b1:22:61:67,-88,0000fd6f-0000-1000-8000-00805f9b34fb
26,47:c7:fd:f8:a9:7e,-99,0000fd6f-0000-1000-8000-00805f9b34fb
27,6f:ba:5d:00:2e:c3,-99,null
28,7e:98:6d:38:85:f8,-95,null
29,18:9a:e3:3e:32:d7,-94,null
30,17:cc:f0:32:06:86,-94,null
31,28:11:a5:59:bc:54,-89,null
32,28:11:a5:cb:cf:bd,-91,null
33,79:b1:90:8a:45:31,-94,null
34,28:11:a5:59:33:25,-98,null
35,66:38:72:09:38:10,-95,null
36,28:11:a5:cb:f2:58,-82,null
37,46:16:6b:43:f3:bb,-82,null
38,76:69:05:62:8c:54,-91,null
39,66:33:f9:40:e4:59,-96,null
40,4c:76:d7:14:91:fc,-95,null
41,41:f4:10:63:87:f1,-93,null
42,72:41:c9:a2:8e:20,-91,null
43,3b:f0:ee:77:31:74,-93,null
44,64:ec:d9:dd:fa:46,-92,null
45,50:8c:a7:2d:14:81,-99,null
46,d4:36:39:ba:bf:4c,-94,null
47,68:03:42:05:4a:e1,-100,null
48,7d:f0:f6:1d:9c:a8,-94,null
49,d4:36:39:ba:bd:b6,-91,null
50,d4:36:39:ba:c1:ad,-95,null
51,7d:91:cc:5d:f3:63,-95,null
52,6d:65:7b:56:ed:28,-95,null
53,f3:85:80:87:df:89,-94,null
54,62:e4:c9:93:8a:57,-99,null
