20210704100321,34.68443333333333,135.82782
,adress,rssi,uuid
0,10:2c:6b:b4:e4:b5,-90,null
1,59:b2:82:03:79:87,-88,null
2,5a:8d:16:a9:d1:7f,-82,null
3,46:ab:25:a2:19:dc,-96,null
4,5d:a4:f0:c4:9d:28,-87,null
5,0d:01:f2:5d:e9:6b,-90,null
6,36:75:70:fe:28:b4,-82,null
7,00:a0:50:53:77:0c,-64,null
8,4b:b3:4a:0c:4d:43,-79,null
9,49:3b:a9:9b:83:a5,-89,null
10,40:58:d5:12:0f:ad,-98,null
11,77:f6:43:5f:a0:90,-91,null
12,0e:fd:03:d4:f1:73,-98,0000fd6f-0000-1000-8000-00805f9b34fb
13,6b:72:49:2b:82:a0,-87,null
14,73:a0:6d:85:b8:67,-85,null
15,0b:1a:0b:0a:b1:27,-87,0000fd6f-0000-1000-8000-00805f9b34fb
16,62:c5:c7:88:ec:41,-92,null
17,0a:01:28:17:22:c0,-85,0000fd6f-0000-1000-8000-00805f9b34fb
18,21:c1:19:45:2f:7a,-92,0000fd6f-0000-1000-8000-00805f9b34fb
19,2e:82:5b:3f:b0:8e,-88,0000fd6f-0000-1000-8000-00805f9b34fb
20,19:c1:21:59:ab:9b,-91,null
21,2d:4e:a5:39:dc:72,-91,0000fd6f-0000-1000-8000-00805f9b34fb
22,4c:7f:50:da:83:68,-99,null
23,4c:a0:c4:06:ff:b1,-95,null
24,ec:ab:0b:4e:cf:6a,-88,null
25,42:50:15:f0:c3:a5,-88,null
26,79:74:d9:7a:ce:45,-89,null
27,46:89:7b:eb:c0:8a,-89,null
28,7d:ed:32:11:a3:85,-87,null
29,6e:87:db:d2:7f:90,-88,null
30,37:92:ee:1d:6d:ec,-88,0000fd6f-0000-1000-8000-00805f9b34fb
31,7b:a0:cc:82:0e:5c,-85,null
32,29:0f:86:15:44:a0,-84,0000fd6f-0000-1000-8000-00805f9b34fb
33,72:95:52:95:2d:ff,-87,null
34,5a:ba:62:34:00:9d,-95,null
35,40:20:b8:00:e5:20,-82,null
36,3c:95:cf:1c:b5:9b,-96,null
37,63:75:9b:52:d5:c0,-96,null
38,6d:d0:92:6b:63:9a,-87,null
39,74:8a:f4:af:a0:be,-96,null
40,41:e0:fe:35:b9:bd,-104,null
41,14:e5:b3:1f:38:26,-93,null
42,31:b0:87:f4:9a:0e,-95,0000fd6f-0000-1000-8000-00805f9b34fb
43,38:18:4c:b2:99:f1,-93,null
44,5b:66:25:74:bd:9f,-89,null
45,01:d5:c5:6c:6a:0e,-98,0000fd6f-0000-1000-8000-00805f9b34fb
46,33:07:93:27:be:4b,-95,0000fd6f-0000-1000-8000-00805f9b34fb
47,0d:96:6b:48:15:84,-94,null
48,4e:a9:05:8e:64:ea,-96,null
49,37:d8:cc:07:4b:d0,-86,0000fd6f-0000-1000-8000-00805f9b34fb
50,04:2a:22:4d:66:30,-94,0000fd6f-0000-1000-8000-00805f9b34fb
51,52:4d:a6:97:1d:23,-95,null
52,10:7b:ef:ec:67:ce,-89,0000fd6f-0000-1000-8000-00805f9b34fb
53,4a:fa:3a:82:57:cc,-91,null
54,66:1d:f6:49:86:86,-99,null
55,46:1e:b5:fa:ce:6f,-97,null
56,a0:c9:a0:30:36:6c,-96,null
57,3c:e9:99:d2:9f:04,-91,null
58,7d:b8:08:08:f9:e2,-88,null
59,68:47:6b:f6:0b:25,-92,null
60,66:67:1e:29:81:75,-94,null
61,7d:1f:43:af:2b:b4,-87,null
62,4d:e5:91:19:7e:0d,-89,null
63,01:e8:4d:9c:b5:16,-97,null
64,68:7b:2d:46:c9:03,-94,null
65,27:3b:ad:a9:9d:e3,-93,null
66,6d:d3:b8:ec:e3:0f,-91,null
67,4c:1e:6b:3d:f9:99,-95,null
68,68:a9:9d:49:fa:cc,-96,null
69,58:ec:62:44:18:e9,-93,null
