20210704100051,34.692985,135.7821
,adress,rssi,uuid
0,00:a0:50:52:f3:a8,-61,null
1,76:74:3b:9f:a0:70,-95,null
2,70:dc:4e:50:5c:b5,-81,null
3,39:28:ac:7c:f4:ac,-90,0000fd6f-0000-1000-8000-00805f9b34fb
4,6f:87:45:59:e1:b2,-88,null
5,00:75:6e:bc:5d:6b,-91,0000fd6f-0000-1000-8000-00805f9b34fb
6,5b:b9:26:bc:5f:6b,-87,null
7,70:11:d2:00:22:9f,-92,null
8,65:84:a2:b9:68:fe,-90,null
9,00:12:a6:4e:93:fc,-92,0000fd6f-0000-1000-8000-00805f9b34fb
10,dd:0c:77:59:87:7f,-91,null
11,7b:8a:be:7e:93:63,-83,null
12,2f:60:a1:1f:3d:0b,-84,null
13,08:cf:98:77:34:85,-86,0000fd6f-0000-1000-8000-00805f9b34fb
14,7a:c9:7a:6a:41:19,-90,null
15,52:79:6d:4e:f4:9e,-90,null
16,c0:00:00:00:93:16,-92,null
17,f9:d0:fc:d7:9a:90,-88,null
18,6b:15:3e:64:05:6c,-77,null
19,6f:2f:bd:98:38:3d,-93,null
20,05:b6:85:da:9e:8a,-92,null
21,d4:36:39:ba:c1:d3,-94,null
22,57:62:61:02:8c:c2,-93,null
23,60:39:08:98:b5:d5,-98,null
24,47:79:96:8b:5a:f4,-93,null
25,5a:9f:b6:14:18:f3,-91,null
26,78:cd:61:75:6c:cd,-93,null
27,4a:ce:d7:92:b0:ef,-94,null
28,6b:fa:64:28:2b:c1,-92,null
29,03:19:5b:01:ef:77,-94,null
30,65:bf:ad:0b:69:c4,-95,null
31,55:a6:6d:6f:6f:ff,-97,null
32,63:29:d2:15:9d:99,-94,null
