20210701143056,34.68443333333333,135.80459833333333
,adress,rssi,uuid
0,00:a0:50:c4:24:ee,-69,null
1,22:9c:cb:99:1a:e7,-87,null
2,5a:ae:04:42:22:19,-62,null
3,1b:68:55:74:a8:be,-47,0000fd6f-0000-1000-8000-00805f9b34fb
4,32:e5:c1:03:07:a1,-95,null
5,7e:fa:f0:47:e6:8e,-95,null
6,74:e5:fa:bb:a2:05,-91,null
7,69:fe:32:8a:bd:e6,-83,null
8,72:dc:94:c6:ac:87,-93,null
9,6e:10:41:84:8e:a8,-86,null
10,74:12:e0:ef:3b:9b,-95,null
11,56:8f:fe:96:aa:3d,-75,null
12,4f:38:8a:ea:1c:dc,-96,null
13,74:fb:c9:60:f4:97,-90,null
14,7d:63:f7:4f:3e:7c,-94,null
15,0e:7d:90:bf:fe:e7,-83,null
16,46:f9:3a:e9:5f:4e,-95,null
17,6e:f8:02:7d:4b:7f,-86,null
18,47:55:8c:23:aa:79,-94,null
19,12:37:68:15:b8:75,-94,0000fd6f-0000-1000-8000-00805f9b34fb
20,37:b2:8a:c8:de:89,-92,0000fd6f-0000-1000-8000-00805f9b34fb
21,4e:de:af:5d:7f:ea,-94,null
22,10:b7:6f:f4:02:4f,-94,null
23,16:5e:85:37:7a:e9,-97,null
24,66:07:0c:44:34:03,-78,null
25,69:d1:12:d0:76:ff,-89,null
26,7e:75:3d:08:26:cd,-102,null
27,47:e2:b4:51:72:f7,-95,null
28,69:a0:a4:70:9a:78,-97,null
29,6d:6e:72:4c:21:68,-90,null
30,45:d5:6c:5d:37:f3,-89,null
31,06:c8:a4:6d:7e:51,-93,null
32,49:b0:4e:3b:9e:b1,-93,null
